id,slug,parent_id,icon,order,sale_only,applicable_to
01K7CT80XCW1ETCAH681RRJV31,lingerie-swimwear,01K7CT80X88HEQN5YMHJ2KPH3G,👔,0,false,market
01K7CT80XDDF6HAXKSQGTFFMV4,suits-jackets,01K7CT80XCAPYPDXZRSX804ZBF,👔,0,false,market
01K7CT80XEHN2M89BB908KEDJW,shirts,01K7CT80XCAPYPDXZRSX804ZBF,👔,0,false,market
01K7CT80XF600SJVZ4T1REFV4C,tshirts-polo,01K7CT80XCAPYPDXZRSX804ZBF,👔,0,false,market
01K7CT80XGS79K8NX6GF3MY1GP,underwear,01K7CT80XCAPYPDXZRSX804ZBF,👔,0,false,market
01K7CT80XGT9XWE6CQPD9QT0T4,women-shoes,01K7CT80X8XK08BHHKC96JVYTX,👠,0,false,market
01K7CT80XHFXY1DAWFCQ3FHXFQ,pumps,01K7CT80XGT9XWE6CQPD9QT0T4,👞,0,false,market
01K7CT80XHMXACWC5XABCE4C4A,boots,01K7CT80XM6J1G4MYBYBX1BG7B,🥾,0,false,market
01K7CT80XJ0EXW6BETZT6QA610,sneakers,01K7CT80XM6J1G4MYBYBX1BG7B,👟,0,false,market
01K7CT80XJ9A2YGGHPADHQRAJQ,ankle-boots,01K7CT80XM6J1G4MYBYBX1BG7B,🥾,0,false,market
01K7CT80XK7MN7QE6J8ZHM9X6A,flats,01K7CT80XGT9XWE6CQPD9QT0T4,👞,0,false,market
01K7CT80XKQVKXRKDYBM50FQZ6,sandals,01K7CT80XM6J1G4MYBYBX1BG7B,👡,0,false,market
01K7CT80XM6J1G4MYBYBX1BG7B,men-shoes,01K7CT80X8XK08BHHKC96JVYTX,👞,0,false,market
01K7CT80XMPPGF4YV04C2GG8T7,slippers,01K7CT80XM6J1G4MYBYBX1BG7B,👞,0,false,market
01K7CT80XNBZ63ACGZZZT7HZ1X,dress-shoes,01K7CT80XM6J1G4MYBYBX1BG7B,👞,0,false,market
01K7CT80XR573AQTDWB2SF13YG,bags-backpacks,01K7CT80X8XK08BHHKC96JVYTX,🎒,0,false,market
01K7CT80XRTQ50JG5RRC4820C3,watches,01K7CT80X8XK08BHHKC96JVYTX,⌚,0,false,market
01K7CT80XS09H1KXRYDKNDAQ4T,jewelry,01K7CT80X8XK08BHHKC96JVYTX,💍,0,false,market
01K7CT80XSQ3SS2RJGGV0R3B9B,fashion-jewelry,01K7CT80X8XK08BHHKC96JVYTX,💎,0,false,market
01K7CT80XT3RJVFPKQVQV6ZC00,hats,01K7CT80X8XK08BHHKC96JVYTX,🎩,0,false,market
01K7CT80XT4NNPG1R6Y5G451HT,glasses,01K7CT80X8XK08BHHKC96JVYTX,👓,0,false,market
01K7CT80XV4WS2KXE6FXNR0ZMK,belts,01K7CT80X8XK08BHHKC96JVYTX,⚫,0,false,market
01K7CT80XVZ21DAV6AA7MQDA8Y,scarves,01K7CT80X8XK08BHHKC96JVYTX,🧣,0,false,market
01K7CT80XW15AK84JA3QXF4TF2,wallets,01K7CT80X8XK08BHHKC96JVYTX,👛,0,false,market
